ts_code,list_date,delist_date
ADTN,19940809,
ADTR,20030715,
ADTTF,20140113,
ADTY,20010109,
ADUS,20091028,
ADVC,20000919,
ADVM,20140731,
ADVOF,20140113,
ADVT,19890130,
ADVV,20171108,
ADVZF,20180828,
ADWPF,20140113,
ADXDF,20140113,
ADXN,20200129,
ADXRF,19870325,
ADXS,20050726,
ADYEY,20191003,
ADYX,20120725,
ADYYF,20180615,
ADZZF,20110316,
AE,19750131,
AEBLF,20190404,
AEBMY,20010109,
AEBZY,20130405,
AECFF,20140113,
AECLY,19740319,
AEDC,20111011,
AEDFF,20200224,
AEE,19750102,
AEEI,20000816,
AEEX,20160614,
AEG,19850628,
AEGG,20010522,
AEGN,19811202,
AEGOF,20140113,
AEGXF,19600101,
AEGY,20090629,
AEHR,19970815,
AEIS,19951116,
AEL,20031126,
AELIY,20140707,
AELPRA,20191115,
AELPRB,20200611,
AELTF,20140113,
AEM,19740319,
AEMC,20040910,
AEMD,20000404,
AEMMF,20140113,
AEMMY,20130621,
AENG,19971219,
AEO,19940414,
AEOJF,20140113,
AEOMF,20180125,
AEOXF,20130402,
AEP,19620702,
AEPLF,20140113,
AEPPRB,20190318,
AEPT,20041215,
AER,20061121,
AERG,20120724,
AERI,20131025,
AERN,19930701,
AERO,20061229,
AERS,20050719,
AES,19910626,
AESE,20171025,
AESO,20050411,
AESTY,20180215,
AETLF,20200626,
AETUF,20061228,
AEXAF,20140113,
AEXAY,20150415,
AEXE,20141016,
AEXFF,20140113,
AEY,19910827,
AEYE,20130426,
AEZS,19951219,
AFAP,19750102,
AFBA,20011231,
AFBG,20101008,
AFBOF,20150513,
AFCJF,20150814,
AFCL,20110111,
AFCSF,20131209,
AFDVF,20110107,
AFFL,19990204,
AFFN,20011119,
AFFU,20061214,
AFFY,20061214,
AFG,19781114,
AFGVF,20140113,
AFGVY,20110719,
AFH,20130212,
AFHFF,20190508,
AFI,20160317,
AFIDY,20141201,
AFIMF,20140113,
AFIN,20180719,
AFINP,20190325,
AFIPA,19721214,
AFL,19730823,
AFLQF,20170726,
AFLYY,20040505,
AFMCF,20140113,
AFMD,20140912,
AFMJF,20140113,
AFML,19980210,
AFNL,19950713,
AFOM,20101012,
AFPW,20120724,
AFRAF,20140113,
AFRMF,20140207,
AFRVF,19970821,
AFTC,20020516,
AFTM,20120809,
AFTPF,20180604,
AFTPY,20200430,
AFXXF,20190207,
AFYA,20190719,
AFYG,20100604,
AG,20101215,
AGBA,20190731,
AGBAU,20190514,
AGCBF,19600101,
AGCCF,19600101,
AGCO,19920416,
AGCZ,19960214,
AGDXF,19600101,
AGDY,19930915,
AGE,20181129,
AGEEF,20061228,
AGEN,20000204,
AGESF,20140113,
AGESY,20010109,
AGFAF,20150714,
AGFMF,20140113,
AGFS,20140424,
AGFSW,20150803,
AGGFF,19600101,
AGGG,20180212,
AGGHF,20190221,
AGGI,19981014,
AGGKY,20190417,
AGGL,20070129,
AGGX,20030905,
AGGZF,19600101,
AGHC,19920513,
AGHI,19980505,
AGI,20061228,
AGIN,20160602,
AGIO,20130724,
AGLAF,19600101,
AGLDF,20171121,
AGLE,20160407,
AGLNF,20140113,
AGLT,19950327,
AGLXY,20100504,
AGLY,20190611,
AGM,19940103,
AGM.A,19940127,
AGMH,20180418,
AGMJF,20140113,
AGMPRD,20190509,
AGMPRE,20200515,
AGNC,20080513,
AGNCM,20190228,
AGNCO,20190930,
AGNCP,20200205,
AGNPF,20160311,
AGO,20040420,
AGOAF,20130219,
AGOPRE,20191111,
AGPDF,20140113,
AGPIF,20140113,
AGPL,20121129,
AGPPF,20140113,
AGPYF,20051205,
AGPYY,20110807,
AGR,20151217,
AGRDF,20131223,
AGREF,20140113,
AGRIP,20171219,
AGRO,20110128,
AGRPF,20170609,
AGRPY,20030718,
AGRS,19890331,
AGRUF,20120910,
AGRX,20140523,
AGS,20180126,
AGSM,20070719,
AGSO,20070820,
AGSVF,20120328,
AGTAF,20050127,
AGTC,20140327,
AGTEF,20140812,
AGTK,19980514,
AGTT,19840604,
AGTX,20150821,
AGUNF,20061228,
AGVYY,20140512,
AGX,19810925,
AGXKF,20140113,
AGYP,20020813,
AGYS,19750102,
AGYTF,20140113,
AGZNF,20150108,
AHAD,20161021,
AHAG,19860307,
AHAHF,20160602,
AHC,20080122,
AHCD,19990428,
AHCHF,20140113,
AHCHY,20081104,
AHCO,20180524,
AHCP,20120724,
AHELF,20140113,
AHEXF,20140113,
AHEXY,20081013,
AHFCD,19600101,
AHFD,20111027,
AHFI,19970620,
AHGHF,20200225,
AHGIF,20170127,
AHH,20130508,
AHHPRA,20190612,
AHICF,20130528,
AHII,20130503,
AHIX,19841212,
AHKSF,20140113,
AHKSY,19920529,
AHLPRE,20190807,
AHNMF,20140113,
AHNR,20120724,
AHODF,20140113,
AHOTF,20130412,
AHPI,19920115,
AHROQ,20041110,
AHT,20030821,
AHTPRD,20180319,
AHTPRI,20171110,
AHWSF,20190715,
AI,19971223,
AIABF,20140113,
AIAGF,20140113,
AIAGY,20140728,
AIAPF,20190411,
AIBEF,20140113,
AIBGY,20181123,
AIBRF,20140113,
AICAF,20140113,
AIDA,20050914,
AIERF,20140113,
AIFIF,20170531,
AIFLY,20021205,
AIFM,20160705,
AIFS,19750131,
AIG,19721214,
AIGI,20001213,
AIGPRA,20190308,
AIH,20191104,
AIHLF,20080827,
AIHS,20180316,
AIKI,19721214,
AIKO,20080609,
AILLL,20171214,
AILQF,19600101,
AIM,19960712,
AIMC,20061215,
AIMH,19950725,
AIMT,20150806,
AIN,19870915,
AINC,20141107,
AINPF,20180727,
AINSF,20140113,
AIOAF,20140113,
AIOM,20160614,
AIOSF,20131008,
AIPRC,20190306,
AIPUY,20121004,
AIQUF,20110206,
AIQUY,19840815,
AIR,19720424,
AIRG,20160812,
AIRI,20001005,
AIRO,20000720,
AIRRF,20110124,
AIRT,19840423,
AIRYY,20060629,
AISLF,20020715,
AISSF,20161108,
AIT,19620702,
AITA,20120627,
AITUF,20131009,
AITVF,20140113,
AITX,20110518,
AIV,19940722,
AIVAF,19900328,
AIVN,20010206,
AIXN,20130719,
AIXXF,20090729,
AIZ,20040116,
AIZP,20180308,
AJG,19840620,
AJIA,20180205,
AJINF,19600101,
AJINY,19790205,
AJISF,20101007,
AJLGF,20140113,
AJMPF,20060918,
AJRD,19620702,
AJX,20150216,
AJXGF,19600101,
AKAAF,20140113,
AKABY,20140716,
AKAM,19991026,
AKAOQ,20140312,
AKASF,20200603,
AKAVF,20140113,
AKBA,20140320,
AKBDY,20100430,
AKBIF,20140113,
AKBLF,20140113,
AKBTY,20050304,
AKCA,20170714,
AKCPF,20141031,
AKEJF,20180202,
AKER,20080526,
AKKVF,20140113,
AKMNF,20180308,
AKO.A,19970407,
AKO.B,19970407,
AKOM,20170530,
AKR,19930527,
AKRFF,20140113,
