,ticker,eps_g1,eps_g2,eps_g3
0,AA,1.2436176528794776,51.83870967741935,47.11538461538461
1,AAL,21.666666666666668,0.2791878172588832,-0.607843137254902
2,AAT,4.1,4.8,1.3624999999999998
3,ACB,3.388235294117647,-0.7761194029850746,-0.927536231884058
4,ACCD,4.857142857142858,-1.4623655913978495,-1.96875
5,ACEL,4.173076923076923,2.9000000000000004,-0.6625
6,ACH,35.0,-1.0,1.3333333333333333
7,ACHC,2.943413729128016,2.001604887140195,-0.1748020392667316
8,ACIW,1.3999999999999997,-7.5,0.6034482758620692
9,ACLS,1.4,1.5416666666666667,1.4761904761904765
10,ACM,8.0,0.1153846153846152,1.5294117647058822
11,ACNT,2.419354838709677,7.25,-1.9130434782608692
12,ACVA,1.6666666666666667,-0.6274509803921569,-1.2682926829268293
13,ADN,2.142857142857143,-2.142857142857143,1.4444444444444446
14,ADV,inf,inf,-1.1470588235294117
15,AEO,2.2989130434782608,3.28125,-3.468749999999999
16,AFCG,1.206656346749226,inf,inf
17,AGFY,11.535714285714285,0.0909090909090908,-0.8044871794871795
18,AGLE,1.7,0.3214285714285713,0.1923076923076922
19,AGMH,inf,,
20,AGO,2.213178294573643,3.578313253012048,0.1861563902669502
21,AGRO,1.388392857142857,1.4312499999999997,0.5911764705882352
22,AHH,3.428571428571428,1.7500000000000002,-1.0
23,AHPI,2.2,-2.705882352941176,5.25
24,AI,1.347826086956522,0.8095238095238096,0.4102564102564103
25,AIG,33.36363636363636,0.1678004535147392,-147.0
26,AIRS,inf,-inf,
27,AKYA,1.3499999999999996,-0.8757062146892656,-1.96
28,ALCO,1.1575538035371833,2.4214177978883864,0.285341210720096
29,ALIT,inf,-inf,inf
30,ALLK,1.1513299784327822,1.7307692307692308,0.6744186046511628
31,ALTO,1.6363636363636362,-1.6666666666666667,-2.53125
32,ALTR,1.3888888888888888,-0.2777777777777777,-1.25
33,ALXO,1.025,0.7142857142857143,-1.1621004566210045
34,ALZN,3.0,0.4999999999999999,1.0
35,AMBO,2.75,-3.25,-1.5000000000000002
36,AMBP,4.666666666666667,-inf,-3.909090909090909
37,AMCX,1.3012048192771086,0.1782178217821781,-0.8121827411167514
38,AMGN,2.0246913580246915,-0.0530035335689045,0.2065217391304349
39,AMH,1.6666666666666667,0.7777777777777779,0.6666666666666666
40,AMK,1.4285714285714286,-3.3076923076923075,-2.2142857142857144
41,AMN,1.047423285861107,6.393125671321161,6.742105263157896
42,AMPH,1.0625,3.7,-4.076923076923077
43,AMRC,1.346153846153846,0.4545454545454546,0.1489361702127661
44,AMRS,1.7500000000000002,-0.6574074074074074,-2.542857142857143
45,AMS,inf,inf,-1.1815181518151816
46,AMWD,3.1428571428571432,-3.75,-0.911764705882353
47,AMX,14.666666666666666,1.63013698630137,-0.0769230769230769
48,ANAB,56.49999999999999,0.9848484848484848,-1.967479674796748
49,ANET,0.5161290322580644,0.4912280701754387,0.2758620689655173
50,ANVS,2.147058823529412,0.5652173913043477,1.6785714285714284
51,ANY,2.263157894736842,-0.1481481481481481,-0.5833333333333333
52,AP,3.2000000000000006,-0.6111111111111112,-5.182539682539683
53,APA,2.304878048780488,4.323529411764706,25.25
54,APEN,1.3636363636363638,0.2352941176470586,2.4444444444444446
55,APH,0.288135593220339,0.2830188679245283,0.2758620689655173
56,APLE,2.2222222222222223,-1.380952380952381,-1.2608695652173914
57,APOG,1.3809523809523812,-0.6024844720496895,-0.6901408450704225
58,APP,1.35,1.385714285714286,-1.7142857142857142
59,APRE,8.041666666666666,-0.2173913043478261,-0.513888888888889
60,AQN,2.09375,2.409090909090909,-1.1186868686868687
61,ARBG,inf,1.0,inf
62,ARCB,1.4212871537799383,1.906896551724138,1.4387387387387385
63,ARCE,7.75,-2.0,4.333333333333334
64,ARCH,10.626506024096386,-33.225,-3.5183752417794967
65,ARCO,2.5,-1.857142857142857,-0.569620253164557
66,ARGX,3.7037037037037033,1.1165048543689322,
67,ARHS,7.666666666666667,3.0,-inf
68,ARLP,2.617647058823529,0.4736842105263159,0.3928571428571428
69,ARRY,1.5,-6.75,2.375
70,ARTW,3.0,0.2857142857142855,-2.0
71,ARW,0.8336880804953559,0.8315846687512214,0.7944488637249858
72,ARWR,1.3448275862068968,-2.5769230769230766,2.0
73,ASH,9.468355894943883,9.667504866969498,3.8885869565217392
74,ASTL,36.41666666666667,inf,inf
75,ASYS,23.33333333333333,-8.0,0.4000000000000001
76,ATAX,1.8449074074074077,inf,inf
77,ATCO,1.3888888888888888,0.806451612903226,-3.611111111111111
78,ATEN,1.1458333333333337,1.1111111111111112,5.652777777777778
79,ATGE,7.1485745614035086,6.794507575757575,-2.130382775119617
80,ATIP,1.4439102564102564,inf,
81,ATTO,1.1278769841269842,3.568845785440613,2.282443455691509
82,AUTO,15.5,-17.0,-0.7142857142857143
83,AVAN,4.999999999999999,-0.3939393939393939,inf
84,AVD,1.326470588235294,0.9576923076923076,0.2076923076923076
85,AVDL,2.242424242424242,0.9565217391304348,1.714285714285714
86,AVT,1.9069767441860468,0.719626168224299,6.894736842105264
87,AVYA,5.597619047619047,5.843333333333333,1.9475
88,AXR,1.84,-0.5714285714285715,3.5
89,AXU,22.0,-4.0,-0.5
90,AYX,1.4,1.557377049180328,-2.617647058823529
91,AZTA,43.06485849056604,44.01607142857143,0.2003663003663003
92,AZYO,2.0,0.1999999999999999,0.4736842105263159
93,BABA,2.392857142857143,2.2763413057530704,-0.7658664864547218
94,BANC,1.9323529411764704,1.3540540540540538,-0.070945945945946
95,BAP,4.208333333333334,1.0546218487394958,8.605263157894736
96,BASE,inf,inf,-0.409313725490196
97,BB,2.1818181818181817,-1.9821428571428568,-1.5217391304347825
98,BBAI,14.000000000000002,6.0,-inf
99,BBBY,8.354166666666666,-28.666666666666668,3.557377049180328
100,BBVA,1.4545454545454548,0.3809523809523809,0.1428571428571428
101,BCH,1.0003852080123266,1.4015151515151514,0.5151515151515151
102,BCO,2.736595744680851,2.940392156862745,-0.4154411764705883
103,BDN,inf,-0.25,-0.8181818181818181
104,BE,1.1612903225806452,1.9333333333333336,0.8999999999999999
105,BEAT,2.076923076923077,-inf,-inf
106,BECN,1.4367816091954022,-4.388888888888889,-1.2345679012345678
107,BELFA,1.125,0.5384615384615385,1.206896551724138
108,BELFB,1.125,0.5384615384615385,1.206896551724138
109,BFAM,1.0524193548387095,5.041666666666667,1.666666666666667
110,BFI,13.315789473684212,0.3478260869565217,-inf
111,BFLY,8.0,21.0,-0.976
112,BGSF,10.24025974025974,10.92207792207792,1.0363636363636366
