ticker,revenue_g1,revenue_g2,revenue_g3
AAL,1.0072129076962417,1.2802547376069813,1.5838055307575223
ABG,0.6562477500179998,0.48615446886630814,0.24625812462242797
ABUS,6.0,5.5,0.5
ADI,0.7786667962716214,0.7560025009293472,0.6280710727366638
AE,1.0369609856262834,1.3815384615384616,1.58
AEHR,2.0,4.0,2.0
AEY,0.746606334841629,0.6538461538461539,0.5641025641025641
AGEN,1.0378787878787878,0.4059139784946237,7.755913978494624
AIV,0.275,0.25,0.20512820512820512
AMD,0.7050760560194522,0.5982614772566613,0.5137383777416116
APEI,0.8323249783923942,0.766135354063235,0.5156020017662644
ARCB,0.5391174253642651,0.5312899134322003,0.36572558268590455
ARCH,1.5177777777777777,1.4245810055865922,1.2326869806094183
ARCO,0.4974704890387858,0.40998217468805703,0.23432343234323433
ARLP,0.7044198895027625,0.445141065830721,0.2888283378746594
ARR,1.6666666666666667,0.7368421052631579,-0.043478260869565216
AUPH,3.0,21.0,-0.54
AVEO,2.125,9.5,17.0
AXP,0.3094178892569806,0.2790154890727774,0.2767682989426137
BMRA,2.5,2.0,-0.3333333333333333
BOOM,1.5538461538461539,1.4821428571428572,0.2631578947368421
BTU,0.44496816260970995,0.38893092142971775,0.3641702070867718
BXMT,0.34683022145028225,0.3392716424631318,0.23239513445699012
CCL,47.02,61.42307692307692,35.74285714285714
CCRN,1.2710843373493976,1.3981762917933132,1.9675925925925926
CF,1.1341309823677581,1.7366412213740459,1.3049001814882033
CHRD,1.1675824175824177,1.0092307692307692,2.8503937007874014
CLH,0.46436285097192226,0.4467821782178218,0.4057788944723618
CLMT,0.7972800495662948,0.6965884476534296,0.5518349265266691
CLNE,inf,0.07792207792207792,0.22666666666666666
CLR,1.145748987854251,0.4934210526315789,1.2995226730310263
CNK,1.5220338983050847,3.043859649122807,5.8061224489795915
COP,1.1534619527960044,0.8269722511601477,1.6389485865432303
CPA,1.2796052631578947,2.075268817204301,-2.112185686653772
CPE,1.0772727272727274,1.1583333333333334,1.337837837837838
CQP,1.2133403917416623,0.695364238410596,0.6314471707561342
CRC,1.457236842105263,-0.5785123966942148,1.106312292358804
CREX,2.6666666666666665,1.2,0.0
CRK,1.75,0.5441176470588235,1.3818181818181818
CRT,1.375,0.5,0.25
CSL,0.5788549009560684,0.545171671705893,0.3727891844266143
CSTM,0.34860268477389467,0.3461469199772591,0.34222801996868235
CSX,0.27591973244147155,0.21329541414859582,0.21309734513274337
CTRA,6.938271604938271,2.65,3.879385964912281
CUBE,0.25790327297864984,0.2523868641187077,0.2357186682597604
CUK,47.02,61.42307692307692,35.74285714285714
CVCO,0.7818181818181819,0.6449511400651465,0.49480968858131485
CYTK,28.666666666666668,-0.8571428571428571,7.0
DAC,0.7670454545454546,0.7193627450980392,0.44746103569632983
DAL,1.0962341873810144,1.3179338243990308,1.6864434212449382
DAR,0.3761467889908257,0.3046800382043935,0.28431372549019607
DBGI,3.0,inf,3.0
DCP,1.0474820143884893,0.4559965487489215,0.9478991596638655
DGLY,3.5,2.3333333333333335,3.0
DINO,1.4387153157089796,1.1287100456621004,0.9382971389176146
DK,1.7294708029197081,0.8641304347826086,0.6514346439957492
DMLP,1.2380952380952381,1.2222222222222223,1.5
DO,0.3825503355704698,0.37777777777777777,0.35119047619047616
DORM,0.3683346730975348,0.3590462347729789,0.23920265780730898
DRH,1.248,1.6986301369863013,2.2203389830508473
DSGR,1.3955223880597014,0.1346153846153846,-0.24489795918367346
DSS,2.0,0.4,0.25
DTST,1.125,1.75,0.9166666666666666
DVAX,3.830188679245283,0.37349397590361444,8.75
DVN,1.3276789408357468,0.8595121951219512,2.33828125
EC,1.2571575518601064,0.887253002712127,0.860155118355672
EGY,1.3617021276595744,0.725,3.3076923076923075
ESEA,1.6666666666666667,2.2142857142857144,2.1666666666666665
ESP,1.25,0.0,0.14285714285714285
EXR,0.2532981530343008,0.23676880222841226,0.2096317280453258
FCFS,0.6615384615384615,0.6176470588235294,0.28061224489795916
FCNCA,1.385858585858586,2.1707317073170733,-0.03373015873015873
FIX,0.4257703081232493,0.3208955223880597,0.2246065808297568
FTFT,6.0,inf,inf
FTK,2.2222222222222223,0.08333333333333333,0.0
FUN,1.2723214285714286,8.9,9.323529411764707
FXNC,0.45,0.4,0.2909090909090909
GBX,1.0359384384384385,0.8373390450003353,0.15453477846965372
GEL,0.32279575297809465,0.24891001766851828,0.22816288699863962
GLT,0.5879898862199747,0.5557710412351723,0.3114966669710529
GNRC,0.40547182263886644,0.4048926362136822,0.3736618047054986
GOL,2.3969072164948453,1.146341463414634,0.9133574007220217
GPOR,14.0,-2.2469635627530367,2.1551020408163266
GTE,1.1237113402061856,0.8421052631578947,1.2461538461538462
GTLS,0.2577639751552795,0.22491349480968859,0.2108626198083067
H,1.2368024132730016,1.9200913242009132,1.5377358490566038
HA,1.152288708858052,1.9604395604395604,3.998684210526316
HAYN,0.4772727272727273,0.4268292682926829,0.375
HCCI,0.3418803418803419,0.3238095238095238,0.2803030303030303
HDSN,1.0877531340405016,1.0989304812834226,0.6075388026607539
HEXO,0.8076923076923077,0.7167832167832169,0.6840909090909091
HQI,1.0833333333333335,1.5,1.3333333333333333
HST,1.1278890600924498,1.6917293233082706,2.737827715355805
HUBG,0.42813455657492355,0.4108695652173913,0.3179433368310598
HWKN,0.36636952174355153,0.3378952336007551,0.2720893970893971
IDEX,1.4545454545454546,5.2,inf
IMCC,1.1111111111111112,1.7142857142857142,3.0
IMO,1.0685286935286935,0.8123756106386828,1.1378632291894253
