ticker,eps_g1,eps_g2,eps_g3
AA,1.2436176528794776,51.83870967741935,47.11538461538461
AAL,21.666666666666668,0.27918781725888325,-0.607843137254902
AAT,4.1,4.8,1.3624999999999998
ACB,3.388235294117647,-0.7761194029850746,-0.9275362318840579
ACCD,4.857142857142858,-1.4623655913978495,-1.96875
ACEL,4.173076923076923,2.9000000000000004,-0.6625
ACH,35.0,-1.0,1.3333333333333333
ACHC,2.9434137291280154,2.001604887140195,-0.17480203926673166
ACIW,1.3999999999999997,-7.5,0.6034482758620692
ACLS,1.4,1.5416666666666667,1.4761904761904765
ACM,8.0,0.11538461538461527,1.5294117647058822
ACNT,2.4193548387096775,7.25,-1.9130434782608694
ACVA,1.6666666666666667,-0.6274509803921569,-1.2682926829268293
ADN,2.142857142857143,-2.142857142857143,1.4444444444444446
ADV,inf,inf,-1.1470588235294117
AEO,2.2989130434782608,3.28125,-3.468749999999999
AFCG,1.206656346749226,inf,inf
AGFY,11.535714285714283,0.09090909090909081,-0.8044871794871795
AGLE,1.7,0.3214285714285713,0.19230769230769226
AGMH,inf,,
AGO,2.213178294573643,3.578313253012048,0.18615639026695024
AGRO,1.388392857142857,1.4312499999999997,0.5911764705882352
AHH,3.428571428571428,1.7500000000000002,-1.0
AHPI,2.1999999999999997,-2.705882352941176,5.25
AI,1.347826086956522,0.8095238095238096,0.4102564102564103
AIG,33.36363636363636,0.16780045351473927,-147.0
AIRS,inf,-inf,
AKYA,1.3499999999999996,-0.8757062146892656,-1.9600000000000002
ALCO,1.1575538035371833,2.4214177978883864,0.285341210720096
ALIT,inf,-inf,inf
ALLK,1.1513299784327822,1.7307692307692308,0.6744186046511628
ALTO,1.6363636363636362,-1.6666666666666667,-2.53125
ALTR,1.3888888888888888,-0.27777777777777773,-1.25
ALXO,1.025,0.7142857142857143,-1.1621004566210045
ALZN,3.0,0.4999999999999999,1.0
AMBO,2.7499999999999996,-3.25,-1.5000000000000002
AMBP,4.666666666666667,-inf,-3.909090909090909
AMCX,1.3012048192771086,0.17821782178217815,-0.8121827411167514
AMGN,2.0246913580246915,-0.05300353356890456,0.2065217391304349
AMH,1.6666666666666667,0.7777777777777779,0.6666666666666666
AMK,1.4285714285714286,-3.3076923076923075,-2.2142857142857144
AMN,1.047423285861107,6.393125671321161,6.742105263157896
AMPH,1.0625,3.6999999999999997,-4.076923076923077
AMRC,1.346153846153846,0.4545454545454546,0.1489361702127661
AMRS,1.7500000000000002,-0.6574074074074074,-2.542857142857143
AMS,inf,inf,-1.1815181518151816
AMWD,3.1428571428571432,-3.7500000000000004,-0.911764705882353
AMX,14.666666666666666,1.63013698630137,-0.07692307692307698
ANAB,56.49999999999999,0.9848484848484849,-1.967479674796748
ANET,0.5161290322580644,0.4912280701754387,0.2758620689655173
ANVS,2.1470588235294117,0.5652173913043477,1.6785714285714284
ANY,2.263157894736842,-0.14814814814814817,-0.5833333333333333
AP,3.2000000000000006,-0.6111111111111112,-5.182539682539683
APA,2.304878048780488,4.323529411764706,25.25
APEN,1.3636363636363638,0.23529411764705868,2.4444444444444446
APH,0.28813559322033905,0.28301886792452835,0.2758620689655173
APLE,2.2222222222222223,-1.380952380952381,-1.2608695652173914
APOG,1.3809523809523812,-0.6024844720496895,-0.6901408450704225
APP,1.35,1.385714285714286,-1.7142857142857142
APRE,8.041666666666666,-0.21739130434782614,-0.513888888888889
AQN,2.09375,2.409090909090909,-1.1186868686868687
ARBG,inf,1.0,inf
ARCB,1.4212871537799383,1.906896551724138,1.4387387387387385
ARCE,7.75,-2.0,4.333333333333334
ARCH,10.626506024096386,-33.225,-3.5183752417794967
ARCO,2.5,-1.857142857142857,-0.569620253164557
ARGX,3.7037037037037033,1.1165048543689322,
ARHS,7.666666666666667,3.0,-inf
ARLP,2.617647058823529,0.47368421052631593,0.3928571428571428
ARRY,1.5,-6.75,2.375
ARTW,3.0,0.28571428571428553,-2.0
ARW,0.8336880804953559,0.8315846687512214,0.7944488637249858
ARWR,1.3448275862068968,-2.5769230769230766,1.9999999999999998
ASH,9.468355894943883,9.667504866969498,3.8885869565217392
ASTL,36.41666666666667,inf,inf
ASYS,23.333333333333332,-8.0,0.4000000000000001
ATAX,1.8449074074074074,inf,inf
ATCO,1.3888888888888888,0.806451612903226,-3.6111111111111107
ATEN,1.1458333333333335,1.1111111111111112,5.652777777777778
ATGE,7.1485745614035086,6.794507575757575,-2.130382775119617
ATIP,1.4439102564102564,inf,
ATTO,1.1278769841269842,3.5688457854406135,2.282443455691509
AUTO,15.5,-17.0,-0.7142857142857143
AVAN,4.999999999999999,-0.3939393939393939,inf
AVD,1.326470588235294,0.9576923076923076,0.2076923076923076
AVDL,2.242424242424242,0.9565217391304347,1.714285714285714
AVT,1.9069767441860468,0.719626168224299,6.894736842105264
AVYA,5.597619047619047,5.843333333333333,1.9475
AXR,1.8399999999999999,-0.5714285714285715,3.4999999999999996
AXU,22.0,-4.0,-0.5
AYX,1.4,1.557377049180328,-2.6176470588235294
AZTA,43.06485849056604,44.01607142857143,0.20036630036630032
AZYO,1.9999999999999998,0.19999999999999996,0.4736842105263159
BABA,2.392857142857143,2.2763413057530704,-0.7658664864547218
BANC,1.9323529411764704,1.3540540540540538,-0.070945945945946
BAP,4.208333333333334,1.0546218487394958,8.605263157894736
BASE,inf,inf,-0.40931372549019607
BB,2.1818181818181817,-1.9821428571428572,-1.5217391304347825
BBAI,14.000000000000002,6.0,-inf
BBBY,8.354166666666666,-28.666666666666668,3.557377049180328
