open,high,low,close,Adj Close,volume,datetime,MA10,MA20,MA50,MA150,MA200,ticker
17.1,17.45,16.8,17.16,17.15999984741211,12000.0,2022-07-11,15.95,14.95,14.51,14.04,13.77,KEQU
37.63,38.02,36.83,37.33,37.33000183105469,9218500.0,2022-07-11,38.44,36.28,28.76,28.06,28.66,LI
82.51,82.51,78.56,78.91,78.91000366210938,18600.0,2022-07-11,79.9,78.1,75.72,71.08,69.53,UFPT
13.59,15.4,13.59,14.55,14.550000190734863,21000.0,2022-07-11,13.13,13.0,12.83,11.99,12.03,BRID
39.6,40.31,38.39,38.55,38.54999923706055,474200.0,2022-07-11,39.43,36.67,36.06,33.35,33.33,CHEF
584.73,591.79,567.86,573.0,573.0,20900.0,2022-07-11,569.62,553.81,541.26,538.33,515.99,COKE
166.54,167.56,164.58,166.17,166.1699981689453,1482700.0,2022-07-11,161.2,157.95,156.48,149.03,139.48,DLTR
44.3,44.48,43.95,44.26,44.2599983215332,1030500.0,2022-07-11,43.41,41.81,38.28,32.14,30.16,GO
101.01,102.76,100.61,100.87,100.87000274658205,75700.0,2022-07-11,99.93,96.15,95.53,87.63,83.27,MGPI
97.41,97.85,96.48,96.86,96.86000061035156,2099800.0,2022-07-11,95.05,92.11,89.32,86.67,87.04,MNST
215.1,216.01,214.0,214.16,214.16000366210935,184500.0,2022-07-11,216.21,212.54,200.66,190.44,189.82,SAFM
66.87,66.91,65.91,66.46,66.45999908447266,77000.0,2022-07-11,68.84,65.82,65.12,61.98,63.02,STRA
219.44,221.68,218.95,219.37,219.3699951171875,16600.0,2022-07-11,219.28,208.92,207.55,195.55,184.07,ESLT
63.33,64.6,63.16,63.26,63.2599983215332,128000.0,2022-07-11,63.51,61.64,59.05,51.43,51.26,HURN
63.34,63.92,62.8,63.01,63.0099983215332,183800.0,2022-07-11,62.9,60.91,59.51,58.53,56.43,MRCY
21.05,21.21,20.65,20.75,20.75,215800.0,2022-07-11,20.61,19.53,18.3,17.64,17.61,RGP
61.3,61.3,60.15,60.8,60.79999923706055,10200.0,2022-07-11,60.91,59.48,58.51,57.65,57.66,FRPH
26.45,26.75,26.4,26.75,26.75,19000.0,2022-07-11,26.4,26.29,26.21,26.12,26.08,LANDO
42.5,42.5,42.5,42.5,42.5,0.0,2022-07-11,41.98,42.21,41.45,40.2,39.17,MAYS
