ticker,eps_g1,eps_g2,eps_g3
AINC,1.4566666666666668,73.98230088495576,13.421052631578949
AMD,3.333333333333333,13.0,2.75
APA,48.94791666666667,52.40656565656566,1.9184704184704184
APLS,1.0169848111658455,1.6873040752351096,1.230587121212121
ASPS,5.250000000000001,2.75,28.0
ATRC,1.3090909090909093,3.0875000000000004,2.2556818181818183
ATSG,2.9333333333333336,2.6,3.1578947368421058
AVID,5.92,6.9,1.65
AXU,6.0,7.000000000000001,1.5
BHC,1.3721088435374151,2.6729166666666666,1.309583333333333
CHK,64.42008890752493,65.26461930926217,29.601973684210527
CLNN,10.333333333333336,3.6,9.0
CMC,1.6174242424242429,3.267156862745097,1.8844049247606012
COMM,43.97237569060773,53.16666666666666,7.333333333333333
CSCW,1.7,3.68,2.983193277310925
DAR,1.4375,3.6363636363636367,5.0
DZSI,1.011538461538461,9.883333333333333,6.969696969696971
ELMD,1.625,3.75,2.5909090909090904
ENPH,9.125,56.5,40.16666666666666
EXPE,3.489040603665111,7.945652173913045,1.645043731778426
FBRT,6.185006262300948,21.47101449275362,13.916666666666666
FET,1.5898809523809525,1.4042512175324675,79.51853693181818
FF,3.375,2.3846153846153846,40.49999999999999
FGF,17.171296296296298,25.125,8.042682926829269
FLL,5.25,2.666666666666667,2.0
FSTX,2.151785714285714,2.0625,3.28968253968254
FTCH,7.961538461538462,8.0,1.714285714285714
GKOS,4.294117647058823,30.0,17.999999999999996
GLOB,1.9807692307692304,4.4212454212454215,2.3732718894009217
GPRO,3.25,1.5294117647058822,1.8695652173913044
GWAV,4.5,4.5,2.166666666666667
HEXO,28.5,29.46666666666667,4.65
HNGR,2.1153846153846154,1.2105263157894737,2.846153846153846
HONE,1.375,1.2499999999999998,7.000000000000001
HT,86.5,1.2352941176470589,1.5555555555555558
ICD,5.346778711484594,6.90952380952381,1.633333333333333
IIPR,1.4333333333333331,1.1818181818181817,2.035714285714285
IT,1.0742593305117352,1.2065217391304346,1.1714046822742474
JNCE,2.9047619047619047,1.0526315789473684,8.285714285714286
KLR,2.2500000000000004,2.3846153846153846,1.214285714285714
LXRX,1.9545454545454548,2.0000000000000004,1.4
MBI,8.969897959183674,25.75,15.125
MDGL,1.484375,1.3877551020408163,1.368421052631579
MDV,2.5,86.7142857142857,3.1875
MTEM,1.7200000000000002,1.8235294117647052,1.7333333333333334
MTLS,3.0,4.999999999999999,2.0
NE,6.4669304691916345,6.789124668435014,2.1736596736596736
NFLX,1.65,1.0657894736842106,3.333333333333333
NLOK,3.75,5.500000000000001,43.00000000000001
NVTA,1.3888888888888888,1.1063829787234043,1.3055555555555556
OBE,5.635230577482344,7.970674918950782,1.8548344017094016
OII,6.767222222222222,8.458461538461538,1.2324913892078069
OIS,1.5624999999999998,26.16,10.8
PFIN,10.777777777777777,22.5,10.642857142857142
PFSI,3.7717391304347823,5.431034482758621,1.892307692307692
PJT,3.2999999999999994,16.999999999999996,1.379310344827586
PNNT,1.875,11.857142857142858,1.9
PRTY,6.699754901960783,6.650735294117645,47.92156862745098
RCII,2.590497737556561,11.259615384615383,9.041666666666664
RNG,3.3295454545454546,5.25,1.4999999999999998
SII,5.833333333333333,3.0,4.333333333333334
SILV,4.0,2.666666666666667,42.0
SNP,1.3452380952380951,3.8452380952380953,5.805418719211823
TWO,19.069444444444446,18.10887397464579,5.164429530201343
UGRO,4.500000000000001,5.0,19.875
UUU,5.349358974358975,6.291666666666667,3.0
VATE,1.0833333333333337,35.4,1.0588235294117645
VCTR,2.05,2.85,1.6842105263157894
VCYT,3.3999999999999995,3.8,2.0
VINO,9.25,10.666666666666666,192.0
