ticker,eps_g1,eps_g2,eps_g3
AEY,1.4666666666666668,1.7142857142857142,11.214285714285714
AIN,1.4395161290322582,2.296052631578948,1.335946248600224
AKAM,1.7599999999999998,1.0967741935483872,2.5
ALBO,4.186612021857924,5.1226950354609935,1.2907315651413582
APYX,12.0,4.666666666666667,3.0
BIMI,15.416666666666668,15.250000000000002,2.083333333333333
BLFS,50.7,67.0,14.666666666666664
BLIN,1.290741159385168,3.2253864059590325,2.2747222222222225
CEMI,1.3916666666666666,1.25625,1.25625
CGC,7.935483870967742,1.6551724137931036,28.0
CLS,2.072727272727273,4.688888888888889,1.5138888888888888
CNCE,2.131578947368421,3.697368421052632,1.1819852941176467
CONN,4.824786324786325,8.555555555555557,5.392857142857142
CTT,19.666666666666668,6.75,5.384615384615384
CWCO,1.0357142857142854,1.237012987012987,1.6477272727272725
CX,2.7307692307692304,2.5202429149797565,7.101973684210526
DUOT,6.0,69.0,120.0
ENB,1.3435374149659864,4.047619047619048,2.3045112781954886
EVO,1.4166666666666667,3.125,7.125
FRD,1.068181818181818,4.15,7.0
GBLI,1.04,2.4250000000000003,2.9541984732824424
GTES,10.67624521072797,10.832151300236406,1.2765957446808514
IGC,2.25,2.25,1.2499999999999998
IIPR,1.715686274509804,2.3888888888888893,1.7222222222222223
INTZ,2.666666666666667,2.0,1.5
IRS,8.285714285714286,3.1958762886597945,4.375
JD,3.352941176470588,4.0,1.7272727272727273
JKS,6.5,1.6666666666666667,16.999999999999996
KFRC,3.707692307692308,1.891891891891892,1.782608695652174
KLR,1.3999999999999997,1.1666666666666667,2.5
KMDA,1.5357142857142856,2.294117647058824,3.294117647058823
LGND,7.433631229782335,10.234796404019038,5.566308243727598
LITB,3.375,7.0,5.833333333333335
MSBI,3.2067307692307687,9.662499999999998,7.849999999999999
MTBC,1.1111111111111112,1.5,2.166666666666667
NVRO,1.6000000000000003,1.457627118644068,1.357142857142857
ORI,67.91666666666667,67.32673267326733,1.532615026208503
PAA,6.714285714285714,2.636363636363636,7.470588235294117
PBR,5.357142857142857,16.5,10.727272727272728
PKE,2.254564606741573,4.098314606741573,3.4166666666666665
RAIL,5.631578947368421,1.1960784313725492,1.3146067415730336
RFP,1.220779220779221,2.3454545454545457,2.703846153846154
RLI,2.3050550550550546,1.5240162037037033,9.8203125
SIEB,2.666666666666667,3.4333333333333336,1.85
SKYX,1.3488372093023258,1.48,23.5
SMG,1.4217687074829932,1.7374517374517375,2.891891891891892
TPL,2.75,1.0476190476190477,1.7000000000000002
TWTR,9.999999999999998,2.125,1.5384615384615383
WRAP,1.3333333333333337,1.5,4.0
ZOM,2.25,3.666666666666666,1.1666666666666667
