ticker,eps_g1,eps_g2,eps_g3
ABG,2.0350194552529186,3.732673267326733,1.0440528634361232
ABT,1.2000000000000002,2.225806451612903,1.033898305084746
AMD,3.461538461538461,2.214285714285714,8.8
AMEH,1.1004784688995215,1.0136363636363637,1.9
AMRK,4.4567901234567895,5.444444444444445,154.0
AMZN,1.310769230769231,1.689375,1.5855654761904765
ARW,2.1908177205308355,2.3783631585533724,1.117036780013879
ATKR,6.42857142857143,2.225,1.4647887323943662
ATLC,5.456356736242884,10.895424836601306,6.31392235609103
BAND,1.7877906976744182,6.236111111111111,4.861111111111112
BILI,1.1603260869565215,1.5625,1.0714285714285716
BLDR,2.567164179104478,10.857142857142856,2.4
BZH,1.392156862745098,1.3142857142857145,3.444444444444445
CALB,1.631578947368421,4.666666666666667,2.142857142857143
CANG,6.0,17.22222222222222,14.727272727272728
CENX,25.48333333333333,28.166666666666668,3.746376811594203
CHGG,1.5,8.799999999999999,1.625
CHS,7.525806451612903,10.928571428571429,12.428571428571429
CLFD,2.7,4.575,2.6607142857142856
CLPR,8.374999999999998,8.833333333333332,3.833333333333334
CNC,6.21310975609756,6.457908163265305,1.129103815439219
COUP,4.999999999999999,1.3783783783783785,1.0952380952380951
CROX,4.9397590361445785,8.1875,8.851851851851851
CSAN,4.151606425702812,7.583333333333334,3.4743589743589745
CSTE,1.415441176470588,3.3125,1.630952380952381
CWST,1.46,4.368421052631579,2.964574898785425
DEA,2.0,1.75,2.25
DESP,1.1363636363636362,7.8,10.599999999999998
DGX,2.6470588235294112,3.73972602739726,1.2795698924731185
DIT,1.339350180505415,2.5491803278688527,5.9625
DQ,100.0,1.4545454545454548,2.555555555555556
DXCM,1.1916666666666669,2.15,1.4423076923076923
EDUC,1.9746376811594204,1.8560606060606064,1.897727272727273
EMWP,8.44319306930693,21.0125,8.099999999999998
ETSY,4.453333333333333,6.192307692307692,4.108974358974359
EVR,1.3777777777777775,3.391891891891892,1.0645161290322582
FBC,1.4248768472906403,2.155,2.1527477477477475
FEDU,1.363636363636363,4.363636363636363,1.875
FKWL,2.666666666666667,10.599999999999998,31.0
FRHC,1.2142857142857144,44.5,9.285714285714285
FSR,7.000000000000001,62.0,2.666666666666667
FTCH,9.259803921568627,11.309803921568626,3.713978494623656
FTV,1.655844155844156,4.168956043956044,2.7850274725274726
FUTU,5.4375,8.799999999999999,18.5
GGB,13.333333333333334,7.666666666666667,11.0
GH,1.721415607985481,2.657088122605364,3.5634920634920637
GPI,5.349693251533742,2.428571428571428,1.108527131782946
GS,27.339622641509436,4.980707395498393,1.5677966101694916
HAFC,1.4,5.75,4.222222222222222
HGEN,5.441311852704257,8.731818181818182,6.277272727272727
HIMX,61.0,18.0,18.0
HMNF,1.095402298850575,1.521794871794872,1.032905982905983
HMST,2.095679012345679,2.8421052631578947,1.63755980861244
HONE,1.7660818713450297,3.055555555555556,1.8461538461538465
HTBK,2.583333333333333,4.541666666666667,1.7403846153846154
HVT,5.1893939393939394,6.471264367816093,2.745073891625616
HZNP,2.1309523809523805,3.091937765205092,6.441144114411441
HZO,3.4935332966428176,3.94220572640509,2.2510513036164843
IBN,1.5923076923076924,1.8545454545454547,2.4545454545454546
IIIN,1.764705882352941,2.3043478260869565,13.000000000000002
JACK,1.210281690140845,3.928484848484848,3.29554367201426
JD,2.4,6.848484848484848,10.499999999999998
JYNT,16.999999999999996,1.6666666666666667,7.0
KEN,10.928571428571423,5.780487804878049,11.679245283018869
KLIC,8.944444444444445,4.947368421052631,2.666666666666667
LAD,2.180473372781065,1.949238578680203,1.5154639175257731
LAKE,2.3162967289719623,6.10267857142857,6.483193277310923
LFMD,1.3703703703703702,1.043478260869565,75.33333333333334
LGIH,1.1312217194570136,1.3652694610778444,1.110236220472441
LIND,7.69375,14.875,34.625
LIVE,1.813084112149532,3.925925925925926,9.866666666666667
LOOP,1.9,3.0,2.4
MATX,3.881578947368421,21.11111111111111,4.6
MEOH,1.0627450980392157,1.190476190476191,1.0952380952380951
MMX,4.75,3.8636363636363633,1.6136363636363635
MRBK,1.8228314238952532,2.5745682888540027,1.9111067503924648
MYFW,1.5219251336898394,2.129595588235294,1.953125
NAII,2.8255269320843084,20.57142857142857,11.833333333333329
NMG,27.0,16.0,48.0
NUE,13.0,43.285714285714285,2.714285714285715
NVAX,14.833333333333334,4.258620689655173,2.278350515463917
NXE,2.625,5.25,4.5
OPRA,2.5232198142414863,2.9526315789473685,1.5666666666666669
OPY,2.359366958311889,3.199877520256265,2.742980968532128
PDFS,4.795454545454546,13.849999999999998,10.599999999999998
PKI,5.506910569105692,7.5390804597701155,3.432029177718833
POOL,1.4363307493540052,2.276124031007752,1.4115086463923674
PTC,7.383333333333335,6.989247311827958,1.8225806451612905
PW,1.8095238095238095,2.883333333333333,2.186363636363636
PYPL,5.959025470653377,7.106312292358804,1.6374478234943353
QCOM,1.391891891891892,2.731707317073171,1.65
QDEL,1.344086021505376,8.69198028673835,13.506213450292396
QGEN,1.331269349845201,2.813725490196078,1.1173708920187797
RGEN,1.1333333333333335,1.888888888888889,4.142857142857142
RGR,1.380952380952381,1.4827586206896552,2.869565217391304
RIDE,4.545454545454546,3.5,1.7500000000000002
RKLY,6.016666666666667,5.540780141843972,5.374113475177305
RWAY,1.348739495798319,2.38423645320197,1.074712643678161
SAM,1.251780999009792,1.9376670428223552,1.064347193599224
SBEV,10.0,1.375,18.142857142857142
SCX,3.555555555555556,1.9444444444444449,4.181818181818182
SEM,2.128205128205128,1.0499999999999998,1.3749999999999998
SENS,13.000000000000002,2.2380952380952386,1.5294117647058822
SHEN,1.8212005108556837,2.5970625798212006,1.896551724137931
SI,1.7586206896551726,1.3913043478260871,1.4736842105263157
SLI,2.0,2.0,2.0
SNAX,1.3913043478260871,17.999999999999996,10.166666666666668
SNFCA,3.1914580265095727,4.116071428571429,4.216911764705882
SONY,3.664750957854407,4.073412698412699,1.1048136645962734
SPLK,2.9756145915939727,3.888663967611336,1.8817753338570309
SPWR,2.2500000000000004,28.0,9.65
SSTK,3.036949685534592,4.98397435897436,3.906593406593406
STC,1.4305555555555556,8.136363636363635,234.00000000000003
SURG,2.5,60.66666666666667,128.33333333333334
SVC,1.3913043478260871,4.949999999999999,9.5
SWBI,3.900847457627118,27.6,11.25
SWK,1.5580143540669855,1.8987794612794613,1.0198801742919388
TDOC,1.5294117647058822,2.275,15.115384615384617
THO,6.651162790697674,3.5769230769230766,1.2282608695652173
TLRY,46.5670731707317,54.97222222222221,4.722222222222222
TMO,1.2872133730089272,1.7423857868020305,1.5372340425531914
TPX,5.2727272727272725,1.214285714285714,2.0909090909090917
UMC,4.0,1.2499999999999998,2.25
UPS,2.2151954910575595,17.463963963963963,15.557213930348258
VNET,7.476190476190474,6.642857142857141,10.5
VS,7.000000000000001,103.0,22.0
VSH,2.7647058823529407,1.5789473684210529,1.888888888888889
WIRE,13.7,1.2359550561797754,1.34
WSBF,1.2894607843137256,2.5159313725490198,1.9474789915966384
YETI,1.5789473684210524,9.624999999999998,9.034999999999998
ZM,7.222222222222222,13.500000000000002,65.0
ZS,1.866666666666667,1.173913043478261,2.1538461538461537
