ticker,eps_g1,eps_g2,eps_g3
ACTG,1.7709923664122136,1.6875,1.5555555555555558
ADN,1.4444444444444446,6.666666666666667,2.5
AEVA,1.5,3.333333333333333,1.7500000000000002
AGL,1.125,19.875,19.25
AIRG,3.2727272727272725,9.000000000000002,2.25
AMN,11.684210526315791,1.7999999999999998,1.9574468085106385
ARCB,1.7333333333333334,1.1441441441441438,2.7213114754098364
ARCT,1.2282608695652173,2.7636363636363632,2.2089552238805967
ATER,30.12857142857143,33.53684210526316,3.827751196172249
ATKR,1.4685714285714286,2.836363636363636,6.42857142857143
AVGO,1.1974341112272149,1.858532272325376,2.4710672210672207
AVLR,1.769230769230769,1.5333333333333334,1.769230769230769
AVNT,13.4625,14.73,1.611578947368421
BB,1.8641304347826089,2.173245614035088,3.7149122807017543
BEN,3.990049751243782,4.074712643678161,2.0538793103448274
BLDR,1.9990790836882697,2.824677979963198,6.712153518123667
BLNK,1.42,1.9545454545454544,1.2727272727272727
BMEA,1.892424242424242,6.65,9.4
BRP,1.0216216216216216,1.038888888888889,1.996031746031746
BSIG,2.161157024793388,15.956521739130434,13.390732265446225
BTRS,1.2499999999999998,1.3333333333333337,1.3333333333333337
BTX,7.643939393939394,7.727272727272727,5.583333333333334
BWFG,23.75,1.2894736842105263,3.9375
CALB,3.113636363636364,3.565789473684211,3.149122807017544
CAMT,1.1035087719298249,1.7128205128205127,2.4890109890109886
CANG,3.0127993393889345,6.642857142857142,11.61111111111111
CAT,1.7464788732394367,1.1311475409836067,2.047619047619048
CBRE,1.2282608695652173,1.3272727272727272,4.416666666666667
CC,12.7,1.7608695652173914,1.6
CNP,1.51219512195122,1.4615384615384617,2.363636363636364
CNX,1.56140350877193,2.932038834951456,1.064102564102564
CNXC,1.1258181818181818,15.88181818181818,15.536633663366336
COO,5.168662891986062,9.652756211180122,15.75406115623507
CPF,1.4393939393939394,1.4845238095238096,1.046305418719212
CPSS,3.5,2.25,2.0
CRK,3.8125,1.210526315789474,1.7586206896551726
DAC,5.098265895953757,10.67741935483871,11.367521367521368
DEI,2.1,6.0,3.7
DIOD,1.3898305084745763,1.9411764705882355,2.05
DMLP,2.88235294117647,2.0625,14.333333333333336
DQ,7.008680555555555,56.55555555555556,50.72727272727273
