ticker,eps_g1,eps_g2,eps_g3
AINC,1.4187817258883249,1.4566666666666668,73.98230088495576
ALYA,1.3333333333333337,2.0,5.571428571428571
AMD,1.9090909090909087,3.333333333333333,13.0
APT,18.33333333333333,4.75,3.333333333333334
AQUA,7.666666666666667,5.0,4.999999999999999
ASPS,1.1590909090909094,4.0,15.375
AXU,3.0,6.0,7.000000000000001
BB,5.533333333333332,4.583333333333332,1.75
BTG,5.25,2.0,1.3333333333333337
CARS,1.069662138627656,46.28632478632478,44.03846153846153
CIR,8.511921458625524,7.664770418529052,7.350192413413962
CLNN,10.799999999999995,10.333333333333336,3.6
CLVR,23.0,39.99999999999999,60.5
CNSP,1.3999999999999997,4.0,4.999999999999999
DAR,3.0666666666666664,1.4375,3.6363636363636367
DM,1.3999999999999997,4.0,3.6666666666666674
EBAY,1.5405405405405403,1.282608695652174,6.912280701754386
ESCA,2.9444444444444446,3.692307692307692,6.0
EVH,2.864912280701754,2.9197145405887603,5.5024213075060535
EXPR,10.928571428571423,15.066666666666668,106.5
FF,1.7208333333333332,2.879807692307692,21.44230769230769
FIVN,4.666666666666667,7.333333333333334,3.0
FLL,8.333333333333334,5.25,2.666666666666667
FORM,1.6363636363636362,1.888888888888889,1.857142857142857
FRO,100.0,2.5,2.933333333333333
FSTX,1.1354166666666663,2.1071428571428568,2.6760912698412698
GDDY,28.45238095238095,29.71428571428571,1.4226190476190474
GDEN,2.059954751131221,3.709549071618037,1.1727969348659002
GKOS,2.1200317965023845,17.147058823529413,24.0
GOL,11.673076923076923,8.607142857142858,57.2
GPRO,1.1053921568627452,2.389705882352941,1.6994884910485937
HNGR,1.1576923076923078,1.6629554655870449,2.02834008097166
HOFV,43.56632653061224,3.1666666666666714,166.91666666666669
HONE,1.0336538461538465,1.3125,4.125
HT,7.466666666666668,86.5,1.2352941176470589
HVBC,5.375,2.65,1.3333333333333337
ICHR,10.25,29.0,1.1428571428571426
IMKTA,1.75,1.6741573033707862,1.6842105263157898
INSG,2.058441558441558,2.7857142857142856,2.833333333333333
JKS,4.166666666666667,1.5333333333333334,3.5
LFMD,17.333333333333332,1.7,1.3
LIXT,13.0,2.0,2.0
LPRO,1.9058947368421053,3.657894736842105,1.6382113821138211
MBIN,1.975,1.5588235294117647,1.1304347826086956
MCHX,1.3333333333333337,4.0,16.666666666666668
MDGL,1.6978417266187054,1.484375,1.3877551020408163
MDV,1.1666666666666667,2.5,86.7142857142857
MTBC,2.2857142857142856,2.421052631578948,1.8000000000000005
MUSA,2.357275865201199,10.961633663366335,8.444915254237289
MXL,6.142857142857142,9.000000000000002,2.0
NGVC,1.8333333333333337,1.3333333333333333,1.5294117647058822
NLOK,1.4200819672131149,4.625,24.250000000000004
NVFY,19.85714285714285,8.0,7.0
OBLG,2.333333333333333,2.8235294117647056,4.0
ODP,9.000320034136974,12.723255813953488,1.1399999999999997
OFIX,14.94392523364486,28.2,12.848936170212763
OIG,10.0,2.875,1.3636363636363638
PANW,1.8181818181818183,2.666666666666667,24.0
PAR,2.777777777777777,4.294117647058823,1.267801857585139
PFLT,1.3888888888888888,1.6666666666666667,2.857142857142857
PFSI,3.655629139072848,3.7717391304347823,5.431034482758621
PJT,3.3571428571428568,3.2999999999999994,16.999999999999996
PROF,3.508720930232559,7.625,4.0
RGNX,10.252659574468083,10.981741573033707,6.706741573033707
RNDB,8.571428571428571,2.642857142857143,15.0
SBGI,65.96923076923078,5.933333333333333,4.869565217391305
SII,3.4166666666666665,4.416666666666666,3.666666666666667
SILV,6.0,4.0,2.666666666666667
SOHO,85.0,23.0,7.416666666666667
SUP,23.894736842105264,40.333333333333336,11.849726775956285
UGRO,2.3863636363636367,4.75,12.437499999999998
USEG,3.642857142857143,52.6,5.0
VATE,1.3125,1.0833333333333337,35.4
VCTR,1.1714285714285717,2.05,2.85
VCYT,3.0,3.3999999999999995,3.8
VIAV,1.6666666666666667,1.2,6.0
VINO,7.666666666666667,9.25,10.666666666666666
VNCE,2.457860398605773,29.51212686567164,26.87609649122807
VRTX,10.499999999999998,2.0873786407766994,1.2233009708737863
WFRD,2.0243902439024395,25.7741935483871,27.75
WVVI,1.2916666666666667,2.583333333333333,1.2395833333333337
