ticker,eps_g1,eps_g2,eps_g3
ABMD,1.6724137931034482,1.6816730523627077,1.1982836495031617
ACIW,1.0544662309368191,2.574074074074074,1.4266666666666667
ALR,3.1499999999999995,22.849999999999994,2.3384615384615386
ANAB,1.33500417710944,1.4175438596491228,1.9256410256410252
ANIX,1.272727272727273,3.285714285714285,1.5
AP,1.1374999999999993,10.255555555555556,1.3055555555555558
AREN,2.495738636363636,6.044163223140496,3.9428374655647382
ASC,2.238636363636364,2.685064935064935,2.488095238095238
ASPU,1.0583333333333331,1.875,2.0357142857142856
ATI,2.892857142857143,2.5848214285714284,1.7237103174603177
AUDC,2.125,3.833333333333334,2.666666666666667
AVYA,26.751372683596436,28.56818181818182,20.484848484848484
AWX,22.38095238095238,22.75,2.416666666666667
BLDP,3.333333333333333,4.0,1.4999999999999998
BLIN,3.639106145251398,2.811666666666667,1.737777777777778
BP,5.087837837837838,5.443396226415095,10.443396226415093
CARG,1.2,4.5,4.999999999999999
CGC,1.6551724137931036,28.0,115.0
CONN,9.111111111111112,8.0,2.7857142857142856
CTGO,1.1428571428571426,2.3571428571428568,3.714285714285714
CTRE,3.973684210526316,4.1,2.4333333333333336
CTT,6.75,5.384615384615384,15.1
CYBR,3.555555555555556,4.755555555555556,2.477777777777778
DVN,3.164860681114551,9.13712241653418,4.933750823994727
EGO,1.3294117647058823,11.129411764705882,6.35
ERF,4.87142857142857,6.82142857142857,1.3026315789473686
EVO,4.0,2.25,12.0
EXEL,4.115990990990991,4.580128205128204,2.1217948717948723
FRD,3.5,4.8,9.2
GNPX,1.3333333333333337,3.0,1.5
GOLD,1.1216931216931216,18.407407407407405,16.456989247311824
IIPR,2.666666666666667,2.111111111111112,1.3333333333333333
IRMD,1.1428571428571426,13.0,9.0
IRS,3.1958762886597945,4.375,1.7466666666666668
JD,4.0,1.7272727272727273,3.6
KMDA,3.0,1.588235294117647,4.999999999999999
LGND,16.114754098360656,4.354838709677419,6.777777777777778
LITB,5.999999999999999,8.000000000000002,3.6666666666666674
LND,1.772727272727273,2.863636363636364,4.924242424242425
MIGI,1.5845238095238094,5.65,2.75
MSBI,6.124999999999999,13.199999999999998,2.5
MTCH,2.1908450704225357,1.9662011173184355,1.0733439744612927
NEXA,1.6515679442508708,1.834101382488479,2.798387096774193
PCTY,4.359154929577465,12.999999999999998,8.214285714285712
PGEN,5.251207729468599,5.362318840579711,1.2604166666666663
PHM,1.096153846153846,1.46684350132626,1.620689655172414
PKE,4.696629213483146,3.5,3.333333333333333
PSEC,2.5686274509803924,3.976190476190476,1.5428571428571427
QLYS,2.6439393939393936,3.25,1.0000000000000002
RFP,3.0909090909090917,1.6,3.807692307692308
RHE,1.9736842105263157,1.4615384615384617,1.55
SGRY,1.5238690611502612,1.419952537422417,2.6287878787878785
SHO,1.866666666666667,5.466666666666667,3.276190476190476
SIEB,5.666666666666667,1.2,2.5
SJI,3.16904761904762,3.397163120567376,5.163829787234042
SMG,1.7374517374517375,2.891891891891892,3.759259259259258
THG,1.1559439062249104,4.690853264382676,4.1119167717528375
THR,6.833333333333332,6.583333333333332,3.8333333333333335
TRMD,1.0535714285714284,3.428571428571429,1.05
UTI,1.125,3.522222222222222,2.9603174603174605
VECO,7.288235294117646,6.886274509803921,4.308723489395758
VIRT,2.314516129032258,2.0980392156862746,10.76470588235294
VRA,5.543478260869565,7.166666666666667,1.3484848484848486
VRTX,7.302469135802469,6.056910569105692,4.104529616724738
WRAP,1.5,4.0,3.0
YTRA,22.906103286384973,22.71014492753623,6.343478260869564
