,ts_code,symbol,name,area,industry
1241,603377.SH,603377,东方时尚,北京,汽车服务
1242,603378.SH,603378,亚士创能,上海,染料涂料
1243,603379.SH,603379,三美股份,浙江,化工原料
1244,603380.SH,603380,易德龙,江苏,元器件
1245,603383.SH,603383,顶点软件,福建,软件服务
1246,603385.SH,603385,惠达卫浴,河北,家居用品
1247,603386.SH,603386,骏亚科技,广东,元器件
1248,603387.SH,603387,基蛋生物,江苏,医疗保健
1249,603388.SH,603388,元成股份,浙江,建筑工程
1250,603389.SH,603389,亚振家居,江苏,家居用品
1251,603390.SH,603390,通达电气,广东,汽车配件
1252,603392.SH,603392,万泰生物,北京,医疗保健
1253,603393.SH,603393,新天然气,新疆,供气供热
1254,603396.SH,603396,金辰股份,辽宁,专用机械
1255,603398.SH,603398,沐邦高科,江西,文教休闲
1256,603399.SH,603399,吉翔股份,辽宁,小金属
1257,603408.SH,603408,建霖家居,福建,家居用品
1258,603416.SH,603416,信捷电气,江苏,电器仪表
1259,603421.SH,603421,鼎信通讯,山东,通信设备
1260,603429.SH,603429,集友股份,安徽,广告包装
1261,603439.SH,603439,贵州三力,贵州,中成药
1262,603444.SH,603444,吉比特,福建,互联网
1263,603456.SH,603456,九洲药业,浙江,医疗保健
1264,603458.SH,603458,勘设股份,贵州,建筑工程
1265,603466.SH,603466,风语筑,上海,文教休闲
1266,603477.SH,603477,巨星农牧,四川,农业综合
1267,603486.SH,603486,科沃斯,江苏,家用电器
1268,603488.SH,603488,展鹏科技,江苏,运输设备
1269,603489.SH,603489,八方股份,江苏,电气设备
1270,603496.SH,603496,恒为科技,上海,IT设备
1271,603499.SH,603499,翔港科技,上海,广告包装
1272,603500.SH,603500,祥和实业,浙江,运输设备
1273,603501.SH,603501,韦尔股份,上海,半导体
1274,603505.SH,603505,金石资源,浙江,化工原料
1275,603506.SH,603506,南都物业,浙江,房产服务
1276,603507.SH,603507,振江股份,江苏,电气设备
1277,603508.SH,603508,思维列控,河南,软件服务
1278,603511.SH,603511,爱慕股份,北京,服饰
1279,603515.SH,603515,欧普照明,上海,电气设备
1280,603516.SH,603516,淳中科技,北京,通信设备
1281,603517.SH,603517,绝味食品,湖南,食品
1282,603518.SH,603518,锦泓集团,江苏,服饰
1283,603519.SH,603519,立霸股份,江苏,家用电器
1284,603520.SH,603520,司太立,浙江,化学制药
1285,603527.SH,603527,众源新材,安徽,铜
1286,603528.SH,603528,多伦科技,江苏,软件服务
1287,603529.SH,603529,爱玛科技,天津,摩托车
1288,603530.SH,603530,神马电力,江苏,电气设备
1289,603533.SH,603533,掌阅科技,北京,互联网
1290,603535.SH,603535,嘉诚国际,广东,仓储物流
1291,603536.SH,603536,惠发食品,山东,食品
1292,603538.SH,603538,美诺华,浙江,化学制药
1293,603551.SH,603551,奥普家居,浙江,家居用品
1294,603555.SH,603555,贵人鸟,福建,服饰
1295,603556.SH,603556,海兴电力,浙江,电器仪表
1296,603557.SH,603557,ST起步,浙江,服饰
1297,603558.SH,603558,健盛集团,浙江,纺织
1298,603559.SH,603559,中通国脉,吉林,通信设备
1299,603565.SH,603565,中谷物流,上海,仓储物流
1300,603566.SH,603566,普莱柯,河南,农业综合
1301,603567.SH,603567,珍宝岛,黑龙江,中成药
1302,603568.SH,603568,伟明环保,浙江,环境保护
1303,603569.SH,603569,长久物流,北京,仓储物流
1304,603577.SH,603577,汇金通,山东,电气设备
1305,603578.SH,603578,三星新材,浙江,玻璃
1306,603579.SH,603579,荣泰健康,上海,家用电器
1307,603580.SH,603580,艾艾精工,上海,化工原料
1308,603583.SH,603583,捷昌驱动,浙江,电气设备
1309,603585.SH,603585,苏利股份,江苏,农药化肥
1310,603586.SH,603586,金麒麟,山东,汽车配件
1311,603587.SH,603587,地素时尚,上海,服饰
1312,603588.SH,603588,高能环境,北京,环境保护
1313,603589.SH,603589,口子窖,安徽,白酒
1314,603590.SH,603590,康辰药业,北京,生物制药
1315,603595.SH,603595,东尼电子,浙江,元器件
1316,603596.SH,603596,伯特利,安徽,汽车配件
1317,603598.SH,603598,引力传媒,北京,影视音像
1318,603599.SH,603599,广信股份,安徽,农药化肥
1319,603600.SH,603600,永艺股份,浙江,家居用品
1320,603601.SH,603601,再升科技,重庆,玻璃
1321,603602.SH,603602,纵横通信,浙江,通信设备
1322,603603.SH,603603,*ST博天,北京,环境保护
1323,603605.SH,603605,珀莱雅,浙江,日用化工
1324,603606.SH,603606,东方电缆,浙江,电气设备
1325,603607.SH,603607,京华激光,浙江,造纸
1326,603608.SH,603608,天创时尚,广东,服饰
1327,603609.SH,603609,禾丰股份,辽宁,饲料
1328,603610.SH,603610,麒盛科技,浙江,家居用品
1329,603611.SH,603611,诺力股份,浙江,运输设备
1330,603612.SH,603612,索通发展,山东,矿物制品
1331,603613.SH,603613,国联股份,北京,互联网
1332,603615.SH,603615,茶花股份,福建,家居用品
1333,603616.SH,603616,韩建河山,北京,水泥
1334,603617.SH,603617,君禾股份,浙江,专用机械
1335,603618.SH,603618,杭电股份,浙江,电气设备
1336,603619.SH,603619,中曼石油,上海,石油开采
1337,603626.SH,603626,科森科技,江苏,元器件
1338,603628.SH,603628,清源股份,福建,电气设备
1339,603629.SH,603629,利通电子,江苏,元器件
1340,603630.SH,603630,拉芳家化,广东,日用化工
1341,603633.SH,603633,徕木股份,上海,元器件
1342,603636.SH,603636,南威软件,福建,软件服务
1343,603637.SH,603637,镇海股份,浙江,建筑工程
1344,603638.SH,603638,艾迪精密,山东,专用机械
1345,603639.SH,603639,海利尔,山东,农药化肥
1346,603648.SH,603648,畅联股份,上海,仓储物流
1347,603650.SH,603650,彤程新材,上海,化工原料
1348,603655.SH,603655,朗博科技,江苏,汽车配件
1349,603656.SH,603656,泰禾智能,安徽,专用机械
1350,603657.SH,603657,春光科技,浙江,家用电器
1351,603658.SH,603658,安图生物,河南,医疗保健
1352,603659.SH,603659,璞泰来,上海,化工原料
1353,603660.SH,603660,苏州科达,江苏,通信设备
1354,603661.SH,603661,恒林股份,浙江,家居用品
1355,603662.SH,603662,柯力传感,浙江,电器仪表
1356,603663.SH,603663,三祥新材,福建,小金属
1357,603665.SH,603665,康隆达,浙江,纺织
1358,603666.SH,603666,亿嘉和,江苏,专用机械
1359,603667.SH,603667,五洲新春,浙江,机械基件
1360,603668.SH,603668,天马科技,福建,饲料
1361,603669.SH,603669,灵康药业,西藏,化学制药
1362,603676.SH,603676,卫信康,西藏,化学制药
1363,603677.SH,603677,奇精机械,浙江,家用电器
1364,603678.SH,603678,火炬电子,福建,元器件
1365,603679.SH,603679,华体科技,四川,电气设备
1366,603680.SH,603680,今创集团,江苏,运输设备
1367,603681.SH,603681,永冠新材,上海,化工原料
1368,603682.SH,603682,锦和商管,上海,房产服务
1369,603683.SH,603683,晶华新材,上海,化工原料
1370,603685.SH,603685,晨丰科技,浙江,电气设备
1371,603686.SH,603686,福龙马,福建,环境保护
1372,603687.SH,603687,大胜达,浙江,广告包装
1373,603688.SH,603688,石英股份,江苏,矿物制品
1374,603689.SH,603689,皖天然气,安徽,供气供热
1375,603690.SH,603690,至纯科技,上海,半导体
1376,603693.SH,603693,江苏新能,江苏,新型电力
1377,603696.SH,603696,安记食品,福建,食品
1378,603697.SH,603697,有友食品,重庆,食品
1379,603698.SH,603698,航天工程,北京,专用机械
1380,603699.SH,603699,纽威股份,江苏,专用机械
1381,603700.SH,603700,宁水集团,浙江,电器仪表
