,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,MA 10,MA 20,MA 50,MA 150,MA 200,VMA 20,VMA 50,volatility,volatility_max,vscore,score,total_score
20,300059.SZ,20100419,77.48,81.07,76.0,77.0,78.18,-1.18,-1.51,33572.42,264804.0977,87.55200000000002,81.307,,,,58905.73099999999,,0.006195147134744501,0.06253854693474767,-5.0,0.0,-5.0
21,300059.SZ,20100420,77.66,78.0,70.77,72.95,77.0,-4.05,-5.26,36171.04,263841.8743,85.11300000000003,81.745,,,,55209.102,,0.06064898274529995,0.09269230769230774,-5.0,0.0,-5.0
22,300059.SZ,20100421,71.9,75.79,71.6,75.32,72.95,2.37,3.25,34639.82,257638.304,82.45500000000001,82.256,,,,52664.986,,0.047566063977746695,0.05528433830320638,-5.0,0.0,-5.0
23,300059.SZ,20100422,74.5,79.7,74.0,78.18,75.32,2.86,3.8,40574.84,314914.3967,81.10200000000002,82.7305,,,,51067.216,,0.049395973154362505,0.07151819322459226,-5.0,0.0,-5.0
24,300059.SZ,20100423,77.6,79.22,74.5,75.0,78.18,-3.18,-4.07,30694.43,235719.3504,78.90600000000002,82.9915,,,,49590.6805,,0.03350515463917519,0.05958091391062861,-5.0,0.0,-5.0
25,300059.SZ,20100427,70.0,73.47,69.69,71.12,75.0,-3.88,-5.17,33507.42,238193.3658,76.93300000000002,83.12250000000002,,,,49108.33500000001,,0.016000000000000066,0.051449571253572905,-5.0,0.0,-5.0
26,300059.SZ,20100428,69.0,70.88,65.71,67.59,71.12,-3.53,-4.96,30725.91,210769.1442,75.51500000000001,82.82400000000001,,,,47260.351500000004,,0.020434782608695603,0.07294018058690747,-5.0,0.0,-5.0
27,300059.SZ,20100429,68.48,70.09,66.5,66.7,67.59,-0.89,-1.32,20799.92,142795.9934,74.02400000000003,82.20900000000002,,,,45883.81850000001,,0.025992990654205624,0.051219860179768914,-5.0,0.0,-5.0
28,300059.SZ,20100430,67.01,69.97,63.0,69.12,66.7,2.42,3.63,26725.99,177296.1253,73.11600000000001,81.32900000000002,,,,44279.53600000001,,0.031487837636173695,0.09961412033728739,-5.0,0.0,-5.0
29,300059.SZ,20100504,67.53,70.77,67.0,68.31,69.12,-0.81,-1.17,19104.36,131906.9792,72.12900000000002,80.41500000000002,,,,42160.81100000001,,0.011550422034651283,0.05327116009608586,-5.0,0.0,-5.0
30,300059.SZ,20100505,67.4,71.47,67.0,71.4,68.31,3.09,4.52,23236.56,162598.1195,71.56900000000002,79.56050000000002,,,,40837.56100000001,,0.05934718100890207,0.06254372463970895,-5.0,0.0,-5.0
31,300059.SZ,20100506,70.66,71.36,67.01,67.08,71.4,-4.32,-6.05,25276.32,174490.7806,70.98200000000001,78.04750000000003,,,,39675.55900000001,,0.05066515709029151,0.06095852017937212,-5.0,0.0,-5.0
32,300059.SZ,20100507,64.0,66.5,63.89,64.2,67.08,-2.88,-4.29,18114.42,118088.7453,69.87000000000003,76.16250000000002,,,,38234.01150000001,,0.0031250000000000444,0.03924812030075187,-5.0,0.0,-5.0
33,300059.SZ,20100510,63.5,64.5,59.2,62.0,64.2,-2.2,-3.43,22532.9,139243.4166,68.25200000000002,74.67700000000002,,,,36259.73050000001,,0.023622047244094488,0.08217054263565887,-5.0,0.0,-5.0
34,300059.SZ,20100511,63.6,63.6,59.0,59.2,62.0,-2.8,-4.52,17316.74,105984.9555,66.67200000000003,72.78900000000002,,,,34178.42950000001,,0.06918238993710689,0.07232704402515726,-5.0,0.0,-5.0
35,300059.SZ,20100512,58.48,61.0,57.18,60.3,59.2,1.1,1.86,20345.23,121279.1964,65.59000000000002,71.26150000000003,,,,32391.602500000008,,0.0311217510259918,0.06262295081967213,-5.0,0.0,-5.0
36,300059.SZ,20100513,60.6,60.9,57.28,60.8,60.3,0.5,0.83,20552.46,122642.069,64.91100000000002,70.21300000000002,,,,29487.355000000003,,0.00330033003300323,0.05944170771756974,-5.0,0.0,-5.0
37,300059.SZ,20100514,60.4,62.3,59.0,61.9,60.8,1.1,1.81,18007.93,109597.2542,64.43100000000001,69.22750000000003,,,,28261.414500000006,,0.024834437086092717,0.052969502407704615,-5.0,0.0,-5.0
38,300059.SZ,20100517,60.5,61.29,57.0,57.02,61.9,-4.88,-7.88,18405.58,109859.6935,63.221000000000004,68.16850000000002,,,,26485.208000000006,,0.05752066115702474,0.06999510523739598,-5.0,0.0,-5.0
39,300059.SZ,20100519,57.65,62.7,57.5,60.51,57.02,3.49,6.12,34081.79,204465.0345,62.44100000000001,67.28500000000003,,,,26219.30400000001,,0.04960971379011274,0.08293460925039876,-5.0,0.0,-5.0
40,300059.SZ,20100520,59.6,62.26,59.4,59.81,60.51,-0.7,-1.16,21462.89,130206.2525,61.28200000000002,66.42550000000003,,,,25613.82750000001,,0.0035234899328859203,0.04593639575971731,-5.0,0.0,-5.0
41,300059.SZ,20100521,57.4,65.58,57.32,65.01,59.81,5.2,8.69,38155.31,234765.6465,61.07500000000001,66.02850000000002,,,,25713.041000000012,,0.13257839721254366,0.12595303446172612,-5.0,0.0,-5.0
42,300059.SZ,20100524,65.2,68.87,64.44,67.4,65.01,2.39,3.68,37844.2,253788.8603,61.395,65.63250000000002,,,,25873.260000000013,,0.0337423312883436,0.06432408886307546,-5.0,0.0,-5.0
43,300059.SZ,20100525,66.9,67.6,65.0,66.6,67.4,-0.8,-1.19,25851.2,171240.1177,61.855000000000004,65.05350000000001,,,,25137.078000000012,,0.004484304932735596,0.03846153846153838,-5.0,0.0,-5.0
44,300059.SZ,20100526,66.7,67.18,64.4,64.69,66.6,-1.91,-2.87,18856.69,123469.6191,62.403999999999996,64.53800000000003,,,,24545.191000000013,,0.03013493253373321,0.04138136350104199,-5.0,0.0,-5.0
45,300059.SZ,20100527,64.65,67.16,62.9,66.63,64.69,1.94,3.0,22771.69,148505.2274,63.037,64.31350000000002,,,,24008.40450000001,,0.03062645011600912,0.06343061346039307,-5.0,0.0,-5.0
46,300059.SZ,20100528,67.23,67.6,65.0,65.7,66.63,-0.93,-1.4,17454.9,115605.9393,63.52700000000001,64.21900000000002,,,,23344.854000000014,,0.022757697456492653,0.03846153846153838,-5.0,0.0,-5.0
47,300059.SZ,20100531,65.47,66.22,62.75,62.75,65.7,-2.95,-4.49,19848.72,128437.8389,63.61200000000001,64.02150000000003,,,,23297.294000000016,,0.04154574614327171,0.0524010872848082,-5.0,0.0,-5.0
